Host,iucn
cercocebus chrysogaster,cercocebus chrysogaster
cercocebus galeritus,cercocebus galeritus
cercocebus torquatus,cercocebus torquatus
cercopithecus albogularis,cercopithecus mitis
cercopithecus ascanius,cercopithecus ascanius
cercopithecus campbelli,cercopithecus campbelli
cercopithecus cephus,cercopithecus cephus
cercopithecus denti,cercopithecus denti
cercopithecus diana,cercopithecus diana
cercopithecus doggetti,cercopithecus mitis
cercopithecus dryas,cercopithecus dryas
cercopithecus erythrogaster,cercopithecus erythrogaster
cercopithecus erythrotis,cercopithecus erythrotis
cercopithecus hamlyni,cercopithecus hamlyni
cercopithecus kandti,cercopithecus mitis
cercopithecus lomamiensis,cercopithecus lomamiensis
cercopithecus mitis,cercopithecus mitis
cercopithecus mona,cercopithecus mona
cercopithecus neglectus,cercopithecus neglectus
cercopithecus nictitans,cercopithecus nictitans
cercopithecus petaurista,cercopithecus petaurista
cercopithecus pogonias,cercopithecus pogonias
cercopithecus roloway,cercopithecus roloway
cercopithecus sclateri,cercopithecus sclateri
cercopithecus wolfi,cercopithecus wolfi
cerdocyon thous,cerdocyon thous
cervidae sp.,
cervus albirostris,cervus albirostris
cervus canadensis,cervus canadensis
cervus elaphus,cervus elaphus
cervus nippon,cervus nippon
chaerephon leucogaster,mops leucogaster
chaerephon plicatus,chaerephon plicatus
chaerephon pumilus,chaerephon pumilus
chaerephon pusillus,mops pusillus
chaetodipus baileyi,chaetodipus baileyi
chaetodipus hispidus,chaetodipus hispidus
chaetodipus penicillatus,chaetodipus penicillatus
chaetodipus spinatus,chaetodipus spinatus
chaetophractus vellerosus,chaetophractus vellerosus
chalinolobus gouldii,chalinolobus gouldii
chalinolobus morio,chalinolobus morio
chalinolobus tuberculatus,chalinolobus tuberculatus
chinchilla lanigera,chinchilla lanigera
chionomys roberti,chionomys roberti
chironectes minimus,chironectes minimus
chiropotes sp.,
chlorocebus aethiops,chlorocebus aethiops
chlorocebus cynosuros,chlorocebus cynosuros
chlorocebus djamdjamensis,chlorocebus djamdjamensis
chlorocebus pygerythrus,chlorocebus pygerythrus
chlorocebus sabaeus,chlorocebus sabaeus
chlorocebus tantalus,chlorocebus tantalus
chodsigoa caovansunga,chodsigoa caovansunga
chodsigoa hypsibia,chodsigoa hypsibia
chodsigoa smithii,chodsigoa smithii
choloepus didactylus,choloepus didactylus
choloepus hoffmanni,choloepus hoffmanni
chrotogale owstoni,chrotogale owstoni
chrotopterus auritus,chrotopterus auritus
chrysocyon brachyurus,chrysocyon brachyurus
civettictis civetta,civettictis civetta
clethrionomys gapperi,myodes gapperi
coendou melanurus,coendou melanurus
coendou mexicanus,coendou mexicanus
coendou prehensilis,coendou prehensilis
coendou rothschildi,coendou quichua
coendou spinosus,coendou spinosus
coleura afra,coleura afra
coleura kibomalandy,coleura kibomalandy
colobus angolensis,colobus angolensis
colobus guereza,colobus guereza
colobus polykomos,colobus polykomos
conepatus leuconotus,conepatus leuconotus
connochaetes gnou,connochaetes gnou
connochaetes taurinus,connochaetes taurinus
corynorhinus rafinesquii,corynorhinus rafinesquii
corynorhinus townsendii,corynorhinus townsendii
cricetomys ansorgei,cricetomys ansorgei
cricetomys emini,cricetomys emini
cricetomys gambianus,cricetomys gambianus
cricetulus barabensis,cricetulus barabensis
cricetulus griseus,cricetulus barabensis
cricetulus longicaudatus,cricetulus longicaudatus
cricetulus migratorius,cricetulus migratorius
cricetulus sokolovi,cricetulus sokolovi
cricetus cricetus,cricetus cricetus
crocidura attenuata,crocidura attenuata
crocidura douceti,crocidura douceti
crocidura dracula,crocidura fuliginosa
crocidura flavescens,crocidura flavescens
crocidura fuliginosa,crocidura fuliginosa
crocidura goliath,crocidura goliath
crocidura grandiceps,crocidura grandiceps
crocidura hirta,crocidura hirta
crocidura lasiura,crocidura lasiura
crocidura leucodon,crocidura leucodon
crocidura littoralis,crocidura littoralis
crocidura luna,crocidura luna
crocidura montis,crocidura montis
crocidura obscurior,crocidura obscurior
crocidura olivieri,crocidura olivieri
crocidura russula,crocidura russula
crocidura shantungensis,crocidura shantungensis
crocidura somalica,crocidura somalica
crocidura suaveolens,crocidura suaveolens
crocidura tanakae,crocidura tanakae
crocidura theresae,crocidura theresae
crocidura zaphiri,crocidura zaphiri
crocuta crocuta,crocuta crocuta
ctenodactylus gundi,ctenodactylus gundi
cuniculus paca,cuniculus paca
cyclopes didactylus,cyclopes didactylus
cynictis penicillata,cynictis penicillata
cynomops abrasus,cynomops abrasus
cynomops planirostris,cynomops planirostris
cynomys gunnisoni,cynomys gunnisoni
cynomys leucurus,cynomys leucurus
cynomys ludovicianus,cynomys ludovicianus
cynomys mexicanus,cynomys mexicanus
cynomys parvidens,cynomys parvidens
cynopterus brachyotis,cynopterus brachyotis
cynopterus horsfieldii,cynopterus horsfieldii
cynopterus sp.,
cynopterus sphinx,cynopterus sphinx
cystophora cristata,cystophora cristata
dama dama,dama dama
damaliscus lunatus,damaliscus lunatus
damaliscus pygargus,damaliscus pygargus
dasycercus cristicauda,dasycercus cristicauda
dasymys incomtus,dasymys incomtus
dasymys rufulus,dasymys rufulus
dasyprocta fuliginosa,dasyprocta fuliginosa
dasyprocta leporina,dasyprocta leporina
dasyprocta punctata,dasyprocta punctata
dasypterus ega,lasiurus ega
dasypterus intermedius,lasiurus intermedius
dasypterus xanthinus,lasiurus xanthinus
dasypus novemcinctus,dasypus novemcinctus
dasyuroides byrnei,dasyuroides byrnei
delphinapterus leucas,delphinapterus leucas
delphinus capensis,delphinus delphis
delphinus delphis,delphinus delphis
dendrolagus goodfellowi,dendrolagus goodfellowi
deomys ferrugineus,deomys ferrugineus
dephomys defua,dephomys defua
desmodillus auricularis,desmodillus auricularis
desmodus rotundus,desmodus rotundus
diaemus youngi,diaemus youngi
diceros bicornis,diceros bicornis
diclidurus albus,diclidurus albus
dicrostonyx groenlandicus,dicrostonyx groenlandicus
didelphis albiventris,didelphis albiventris
didelphis aurita,didelphis aurita
didelphis marsupialis,didelphis marsupialis
didelphis virginiana,didelphis virginiana
diphylla ecaudata,diphylla ecaudata
diplomys labilis,diplomys labilis
dipodillus dasyurus,gerbillus dasyurus
dipodomys californicus,dipodomys californicus
dipodomys heermanni,dipodomys heermanni
dipodomys merriami,dipodomys merriami
dipodomys microps,dipodomys microps
dipodomys nitratoides,dipodomys nitratoides
dipodomys ordii,dipodomys ordii
dipodomys simulans,dipodomys simulans
dipodomys spectabilis,dipodomys spectabilis
dipus sagitta,dipus sagitta
dobsonia andersoni,dobsonia anderseni
dobsonia magna,dobsonia magna
dobsonia moluccensis,dobsonia moluccensis
dolichotis patagonum,dolichotis patagonum
dorcopsis muelleri,dorcopsis muelleri
dorcopsis veterum,dorcopsis muelleri
doryrhina cyclops,hipposideros cyclops
dremomys pernyi,dremomys pernyi
dremomys rufigenis,dremomys rufigenis
dryomys laniger,dryomys laniger
dryomys nitedula,dryomys nitedula
dyacopterus spadiceus,dyacopterus spadiceus
echinosciurus variegatoides,sciurus variegatoides
echinosorex gymnura,echinosorex gymnura
eidolon dupreanum,eidolon dupreanum
eidolon helvum,eidolon helvum
eira barbara,eira barbara
elaphodus cephalophus,elaphodus cephalophus
elaphurus davidianus,elaphurus davidianus
elephas maximus,elephas maximus
eliomys melanurus,eliomys melanurus
eliomys munbyanus,eliomys munbyanus
eliomys quercinus,eliomys quercinus
eliurus majori,eliurus majori
eliurus minor,eliurus minor
eliurus tanala,eliurus tanala
enhydra lutris,enhydra lutris
eonycteris spelaea,eonycteris spelaea
eospalax rufescens,eospalax smithii
eothenomys cachinus,eothenomys cachinus
eothenomys chinensis,eothenomys chinensis
eothenomys custos,eothenomys custos
eothenomys eleusis,
eothenomys eva,caryomys eva
eothenomys inez,caryomys inez
eothenomys melanogaster,eothenomys melanogaster
eothenomys miletus,eothenomys miletus
eozapus setchuanus,eozapus setchuanus
episoriculus leucops,episoriculus leucops
epomophorus gambianus,epomophorus gambianus
epomophorus labiatus,epomophorus labiatus
epomophorus pusillus,micropteropus pusillus
epomophorus wahlbergi,epomophorus wahlbergi
epomops buettikoferi,epomops buettikoferi
epomops dobsonii,epomops dobsonii
epomops franqueti,epomops franqueti
epomops sp.,
eptesicus brasiliensis,eptesicus brasiliensis
eptesicus diminutus,eptesicus diminutus
eptesicus furinalis,eptesicus furinalis
eptesicus fuscus,eptesicus fuscus
eptesicus hottentotus,eptesicus hottentotus
eptesicus isabellinus,eptesicus isabellinus
eptesicus japonensis,eptesicus japonensis
eptesicus nilssonii,eptesicus nilssonii
eptesicus regulus,vespadelus regulus
eptesicus serotinus,eptesicus serotinus
eptesicus sp.,
eptesicus vulturnus,vespadelus vulturnus
equus asinus,equus africanus
equus asinus x caballus,equus africanus
equus asinus x equus caballus,equus africanus
equus burchellii,equus quagga
equus caballus,equus ferus
equus caballus x equus asinus,equus ferus
equus ferus,equus ferus
equus grevyi,equus grevyi
equus hemionus,equus hemionus
equus kiang,equus kiang
equus przewalskii,equus ferus
equus quagga,equus quagga
equus sp.,
equus zebra,equus zebra
erethizon dorsatum,erethizon dorsatum
erignathus barbatus,erignathus barbatus
erinaceus amurensis,erinaceus amurensis
erinaceus europaeus,erinaceus europaeus
erinaceus roumanicus,erinaceus roumanicus
erinaceus sp.,
erythrocebus patas,erythrocebus patas
eschrichtius robustus,eschrichtius robustus
eubalaena australis,eubalaena australis
euchoreutes naso,euchoreutes naso
euderma maculatum,euderma maculatum
eudorcas thomsonii,eudorcas thomsonii
eulemur albifrons,eulemur albifrons
eulemur coronatus,eulemur coronatus
eulemur fulvus,eulemur fulvus
eulemur macaco,eulemur macaco
eulemur rubriventer,eulemur rubriventer
eulemur rufifrons,eulemur rufifrons
eumetopias jubatus,eumetopias jubatus
eumops auripendulus,eumops auripendulus
eumops bonariensis,eumops bonariensis
eumops glaucinus,eumops glaucinus
eumops patagonicus,eumops patagonicus
eumops perotis,eumops perotis
euoticus elegantulus,euoticus elegantulus
euryzygomatomys spinosus,euryzygomatomys spinosus
falsistrellus mackenziei,falsistrellus mackenziei
felis catus,felis silvestris
felis chaus,felis chaus
felis margarita,felis margarita
felis nigripes,felis nigripes
felis silvestris,felis silvestris
felis sp.,
feresa attenuata,feresa attenuata
funambulus pennantii,funambulus pennantii
funambulus tristriatus,funambulus tristriatus
funisciurus anerythrus,funisciurus anerythrus
funisciurus carruthersi,funisciurus carruthersi
funisciurus congicus,funisciurus congicus
funisciurus lemniscatus,funisciurus lemniscatus
funisciurus pyrropus,funisciurus pyrropus
galago senegalensis,galago senegalensis
galagoides demidoff,galagoides demidoff
galerella pulverulenta,herpestes pulverulentus
galerella sanguinea,herpestes sanguineus
galictis cuja,galictis cuja
galidia elegans,galidia elegans
gardnerycteris crenulatum,gardnerycteris crenulatum
gazella arabica,gazella arabica
gazella bennettii,gazella bennettii
gazella dorcas,gazella dorcas
gazella gazella,gazella gazella
gazella spekei,gazella spekei
gazella subgutturosa,gazella subgutturosa
genetta genetta,genetta genetta
genetta maculata,genetta maculata
genetta tigrina,genetta tigrina
geomys bursarius,geomys bursarius
gerbilliscus brantsii,gerbilliscus brantsii
gerbilliscus kempi,gerbilliscus kempi
gerbilliscus leucogaster,gerbilliscus leucogaster
gerbilliscus sp.,
gerbilliscus validus,gerbilliscus validus
gerbillus gerbillus,gerbillus gerbillus
gerbillus pyramidum,gerbillus pyramidum
giraffa camelopardalis,giraffa camelopardalis
giraffa giraffa,giraffa camelopardalis
giraffa reticulata,giraffa camelopardalis
glaucomys volans,glaucomys volans
