Host,iucn
rodentia sp.,
rousettus aegyptiacus,rousettus aegyptiacus
rousettus amplexicaudatus,rousettus amplexicaudatus
rousettus leschenaultii,rousettus leschenaultii
rousettus madagascariensis,rousettus madagascariensis
rousettus sp.,
rucervus duvaucelii,rucervus duvaucelii
rupicapra pyrenaica,rupicapra pyrenaica
rupicapra rupicapra,rupicapra rupicapra
rusa alfredi,rusa alfredi
rusa timorensis,rusa timorensis
rusa unicolor,rusa unicolor
ruwenzorisorex suncoides,ruwenzorisorex suncoides
saccolaimus flaviventris,saccolaimus flaviventris
saccolaimus saccolaimus,saccolaimus saccolaimus
saccopteryx bilineata,saccopteryx bilineata
saccostomus sp.,
saguinus bicolor,saguinus bicolor
saguinus geoffroyi,saguinus geoffroyi
saguinus imperator,saguinus imperator
saguinus labiatus,saguinus labiatus
saguinus midas,saguinus midas
saguinus mystax,saguinus mystax
saguinus oedipus,saguinus oedipus
saiga tatarica,saiga tatarica
saimiri boliviensis,saimiri boliviensis
saimiri oerstedii,saimiri oerstedii
saimiri sciureus,saimiri sciureus
saimiri sp.,
saimiri ustus,saimiri ustus
sapajus apella,sapajus apella
sapajus cay,sapajus cay
sapajus flavius,sapajus flavius
sapajus libidinosus,sapajus libidinosus
sapajus nigritus,sapajus nigritus
sapajus sp.,
sapajus xanthosternos,sapajus xanthosternos
sarcophilus harrisii,sarcophilus harrisii
scalopus aquaticus,scalopus aquaticus
scaptonyx fusicaudus,scaptonyx fusicaudus
scarturus elater,allactaga elater
sciurotamias davidianus,sciurotamias davidianus
sciurus carolinensis,sciurus carolinensis
sciurus granatensis,sciurus granatensis
sciurus griseus,sciurus griseus
sciurus niger,sciurus niger
sciurus variegatoides,sciurus variegatoides
sciurus vulgaris,sciurus vulgaris
scotinomys xerampelinus,scotinomys xerampelinus
scotophilus dinganii,scotophilus dinganii
scotophilus heathii,scotophilus heathii
scotophilus kuhlii,scotophilus kuhlii
scotophilus leucogaster,scotophilus leucogaster
scotophilus nigrita,scotophilus nigrita
scotophilus nux,scotophilus nux
sekeetamys calurus,sekeetamys calurus
semnopithecus entellus,semnopithecus entellus
semnopithecus schistaceus,semnopithecus schistaceus
setonix brachyurus,setonix brachyurus
sigmodon alstoni,sigmodon alstoni
sigmodon arizonae,sigmodon arizonae
sigmodon hispidus,sigmodon hispidus
sigmodon mascotensis,sigmodon mascotensis
sigmodon toltecus,sigmodon toltecus
sooretamys angouya,sooretamys angouya
sorex araneus,sorex araneus
sorex arcticus,sorex arcticus
sorex bairdi,sorex bairdi
sorex bedfordiae,sorex bedfordiae
sorex caecutiens,sorex caecutiens
sorex cinereus,sorex cinereus
sorex coronatus,sorex coronatus
sorex cylindricauda,sorex cylindricauda
sorex daphaenodon,sorex daphaenodon
sorex fumeus,sorex fumeus
sorex haydeni,sorex haydeni
sorex hoyi,sorex hoyi
sorex isodon,sorex isodon
sorex minutissimus,sorex minutissimus
sorex minutus,sorex minutus
sorex mirabilis,sorex mirabilis
sorex monticolus,sorex monticola
sorex palustris,sorex palustris
sorex roboratus,sorex roboratus
sorex trowbridgii,sorex trowbridgii
sorex tundrensis,sorex tundrensis
sorex unguiculatus,sorex unguiculatus
sorex vagrans,sorex vagrans
sotalia guianensis,sotalia guianensis
sousa chinensis,sousa chinensis
speothos venaticus,speothos venaticus
spermophilus citellus,spermophilus citellus
spermophilus dauricus,spermophilus dauricus
spermophilus erythrogenys,spermophilus erythrogenys
spermophilus fulvus,spermophilus fulvus
spilogale gracilis,spilogale gracilis
spilogale putorius,spilogale putorius
steatomys pratensis,steatomys pratensis
steatomys sp.,
stenella coeruleoalba,stenella coeruleoalba
stenella frontalis,stenella frontalis
stenella longirostris,stenella longirostris
steno bredanensis,steno bredanensis
stenocephalemys albipes,stenocephalemys albipes
sturnira erythromos,sturnira erythromos
sturnira lilium,sturnira lilium
sturnira ludovici,sturnira ludovici
sturnira parvidens,sturnira parvidens
sturnira tildae,sturnira tildae
suncus murinus,suncus murinus
sundamys infraluteus,sundamys infraluteus
sundamys muelleri,sundamys muelleri
sundasciurus hippurus,sundasciurus hippurus
sundasciurus lowii,sundasciurus lowii
suricata suricatta,suricata suricatta
sus barbatus,sus barbatus
sus celebensis,sus celebensis
sus scrofa,sus scrofa
sus sp.,
sus verrucosus,sus verrucosus
syconycteris australis,syconycteris australis
sylvicapra grimmia,sylvicapra grimmia
sylvilagus aquaticus,sylvilagus aquaticus
sylvilagus audubonii,sylvilagus audubonii
sylvilagus bachmani,sylvilagus bachmani
sylvilagus brasiliensis,sylvilagus brasiliensis
sylvilagus floridanus,sylvilagus floridanus
sylvilagus nuttallii,sylvilagus nuttallii
sylvilagus palustris,sylvilagus palustris
sylvilagus sp.,
sylvisorex ollula,sylvisorex ollula
symphalangus syndactylus,symphalangus syndactylus
syncerus caffer,syncerus caffer
syntheosciurus granatensis,sciurus granatensis
tachyglossus aculeatus,tachyglossus aculeatus
tadarida aegyptiaca,tadarida aegyptiaca
tadarida brasiliensis,tadarida brasiliensis
tadarida teniotis,tadarida teniotis
taeromys dominator,paruromys dominator
talpa altaica,talpa altaica
talpa aquitania,talpa occidentalis
talpa europaea,talpa europaea
talpa occidentalis,talpa occidentalis
talpa romana,talpa romana
tamandua tetradactyla,tamandua tetradactyla
tamias amoenus,neotamias amoenus
tamias minimus,neotamias minimus
tamias quadrivittatus,neotamias quadrivittatus
tamias sibiricus,eutamias sibiricus
tamias striatus,tamias striatus
tamias umbrinus,neotamias umbrinus
tamiasciurus hudsonicus,tamiasciurus hudsonicus
tamiops swinhoei,tamiops swinhoei
taphozous longimanus,taphozous longimanus
taphozous mauritianus,taphozous mauritianus
taphozous melanopogon,taphozous melanopogon
taphozous perforatus,taphozous perforatus
taphozous sp.,
taphozous theobaldi,taphozous theobaldi
tapirus bairdii,tapirus bairdii
tapirus indicus,tapirus indicus
tapirus terrestris,tapirus terrestris
tatera indica,tatera indica
taxidea taxus,taxidea taxus
tayassu pecari,tayassu pecari
terricola subterraneus,microtus subterraneus
tetracerus quadricornis,tetracerus quadricornis
thallomys nigricauda,thallomys nigricauda
thaptomys nigrita,thaptomys nigrita
theropithecus gelada,theropithecus gelada
thomomys talpoides,thomomys talpoides
thoopterus nigrescens,thoopterus nigrescens
thryonomys gregorianus,thryonomys gregorianus
thryonomys sp.,
thryonomys swinderianus,thryonomys swinderianus
thylogale billardierii,thylogale billardierii
thylogale thetis,thylogale thetis
tolypeutes matacus,tolypeutes matacus
tonatia bidens,tonatia bidens
trachops cirrhosus,trachops cirrhosus
trachypithecus cristatus,trachypithecus cristatus
trachypithecus francoisi,trachypithecus francoisi
trachypithecus germaini,trachypithecus germaini
trachypithecus obscurus,trachypithecus obscurus
trachypithecus phayrei,trachypithecus phayrei
trachypithecus pileatus,trachypithecus pileatus
tragelaphus angasii,tragelaphus angasii
tragelaphus eurycerus,tragelaphus eurycerus
tragelaphus imberbis,tragelaphus imberbis
tragelaphus oryx,tragelaphus oryx
tragelaphus scriptus,tragelaphus scriptus
tragelaphus spekii,tragelaphus spekii
tragelaphus strepsiceros,tragelaphus strepsiceros
tragulus javanicus,tragulus javanicus
transandinomys bolivaris,transandinomys bolivaris
tremarctos ornatus,tremarctos ornatus
triaenops afer,triaenops afer
triaenops menamena,triaenops rufus
triaenops persicus,triaenops persicus
trichechus inunguis,trichechus inunguis
trichechus manatus,trichechus manatus
trichosurus vulpecula,trichosurus vulpecula
trinomys iheringi,trinomys iheringi
tscherskia triton,tscherskia triton
tupaia belangeri,tupaia belangeri
tupaia chinensis,tupaia belangeri
tupaia glis,tupaia glis
tupaia tana,tupaia tana
tursiops aduncus,tursiops aduncus
tursiops truncatus,tursiops truncatus
tylomys nudicaudus,tylomys nudicaudus
tylonycteris pachypus,tylonycteris pachypus
tylonycteris robustula,tylonycteris robustula
typhlomys cinereus,typhlomys cinereus
undetermined sciuridae 'chipmunks',
uranomys ruddi,uranomys ruddi
urocitellus columbianus,urocitellus columbianus
urocitellus parryii,urocitellus parryii
urocitellus richardsonii,urocitellus richardsonii
urocitellus undulatus,urocitellus undulatus
urocyon cinereoargenteus,urocyon cinereoargenteus
urocyon littoralis,urocyon littoralis
uroderma bilobatum,uroderma bilobatum
uropsilus sp.,
urotrichus talpoides,urotrichus talpoides
ursus americanus,ursus americanus
ursus arctos,ursus arctos
ursus maritimus,ursus maritimus
ursus sp.,
ursus thibetanus,ursus thibetanus
urva auropunctata,herpestes auropunctatus
urva edwardsii,herpestes edwardsii
urva javanica,herpestes javanicus
vampyrodes caraccioli,vampyrodes caraccioli
vampyrum spectrum,vampyrum spectrum
vandeleuria oleracea,vandeleuria oleracea
varecia variegata,varecia variegata
vespadelus pumilus,vespadelus pumilus
vespertilio murinus,vespertilio murinus
vespertilio sinensis,vespertilio sinensis
vicugna pacos,lama guanicoe
vicugna vicugna,vicugna vicugna
viverricula indica,viverricula indica
volemys millicens,volemys millicens
vombatus ursinus,vombatus ursinus
vulpes chama,vulpes chama
vulpes corsac,vulpes corsac
vulpes lagopus,vulpes lagopus
vulpes macrotis,vulpes macrotis
vulpes velox,vulpes velox
vulpes vulpes,vulpes vulpes
vulpes zerda,vulpes zerda
wallabia bicolor,wallabia bicolor
xanthonycticebus pygmaeus,nycticebus pygmaeus
xeronycteris vieirai,xeronycteris vieirai
xerus erythropus,xerus erythropus
xerus inauris,xerus inauris
zalophus californianus,zalophus californianus
zalophus wollebaeki,zalophus wollebaeki
zapus hudsonius,zapus hudsonius
ziphius cavirostris,ziphius cavirostris
zygodontomys brevicauda,zygodontomys brevicauda
zygodontomys cherriei,zygodontomys brevicauda
NA,NA
